Size,Bubble Sort,Selection Sort,Insertion Sort,Merge Sort,Quick Sort
1,0.01816,0.03581,0.0,0.0,0.0
2,0.02161,0.05167,0.01121,0.07392,0.04186
3,0.03131,0.0943,0.02114,0.15718,0.09468
4,0.08668,0.17645,0.06265,0.23979,0.1042
5,0.10267,0.21561,0.05205,0.33204,0.1751
6,0.26506,0.32672,0.10279,0.42619,0.21835
7,0.43808,0.43856,0.15975,0.52172,0.2722
8,0.66164,0.519,0.29044,0.61007,0.43729
9,0.46801,0.67798,0.24001,0.718,0.43729
10,0.63644,0.81312,0.27384,0.82709,0.44019
11,1.15164,1.00899,0.50606,0.92363,0.4995
12,1.00643,1.12314,0.4144,1.03738,0.569
13,1.34907,1.23821,0.53026,1.13553,0.6323
14,1.74961,1.44028,0.75937,1.23436,0.70443
15,1.86843,1.64096,0.77941,1.33926,0.7478
16,1.9977,1.81376,0.62225,1.4423,0.78017
17,1.43575,1.99912,0.60266,1.57358,0.88561
18,1.87683,2.23124,0.64477,1.67309,1.04229
19,2.767,2.60327,1.05372,1.78987,0.94779
20,3.98704,2.78608,1.224,1.92393,1.21973
21,2.85914,2.99092,1.14576,2.02579,1.21662
22,3.23629,3.25614,1.28423,2.1571,1.31699
23,4.80237,3.56666,1.56618,2.24825,1.47522
24,5.24034,3.94492,1.87456,2.3634,1.42596
25,5.4681,4.20353,2.05773,2.47447,1.48742
26,5.68913,4.50569,1.99437,2.59611,1.60994
27,6.49439,4.7362,2.0113,2.73018,1.46
28,6.12257,5.07195,2.25332,2.82417,1.78635
29,7.25958,5.49524,2.79866,2.94325,1.93455
30,6.57144,5.95271,2.63741,3.06287,1.88017
31,7.09312,6.16104,2.6391,3.16466,1.97686
32,9.98283,6.54308,3.2459,3.27189,2.15262
33,11.36473,7.01042,3.75361,3.41728,2.46181
34,11.34437,7.47216,3.82798,3.5381,2.34849
35,12.41319,7.72622,3.44274,3.66755,2.34134
36,7.91623,8.18198,3.35225,3.8134,2.40549
37,10.80343,8.59309,2.99225,3.9074,2.28104
38,11.50662,9.10664,4.6777,4.05603,2.50691
39,14.639,9.63147,4.73458,4.14817,3.01758
40,13.35026,9.90244,4.35763,4.29017,2.78381
41,12.79725,10.43189,3.82529,4.40265,3.25985
42,16.17835,10.95427,5.60718,4.52804,3.03629
43,18.42704,11.30248,5.02697,4.65854,3.29228
44,16.55274,11.82422,5.09525,4.79849,3.26397
45,20.26661,12.51509,6.40129,4.89114,3.60733
46,15.93402,12.87428,6.18993,5.06592,3.31721
47,16.21423,13.44748,5.41202,5.17698,3.12755
48,20.07594,14.05661,6.74211,5.29287,3.8157
49,20.45946,14.66247,6.76035,5.40222,3.15212
50,22.96733,15.14893,7.52826,5.54048,3.48175
