Size,Best_case,Average_case,Worst_case
1,0.05097,0.01637,0.01257
2,0.01044,0.10886,0.04453
3,0.12404,0.09308,0.17854
4,0.06927,0.02666,0.0982
5,0.0229,0.21318,0.27242
6,0.05347,0.25927,0.39195
7,0.08408,0.37812,0.53776
8,0.07498,0.7061,1.58091
9,0.10332,1.75467,1.65088
10,0.41785,0.98887,2.32161
11,0.12841,3.11401,2.79704
12,0.14069,2.28176,2.83032
13,0.15601,2.07464,3.19993
14,0.12654,4.25233,3.65432
15,0.16452,3.50391,3.62087
16,0.17752,3.5186,5.32743
17,0.18264,4.28463,5.39538
18,0.19715,4.78926,4.84227
19,0.22486,4.5026,6.14271
20,0.23008,6.0503,6.67265
21,0.20928,6.2119,6.25616
22,0.26437,5.06702,7.70457
23,0.26193,6.79878,8.10691
24,0.31389,6.19453,8.19966
25,0.25597,5.67731,7.77556
26,0.32966,5.85306,8.31666
27,0.28612,6.9184,8.94803
28,0.30387,7.50698,9.30206
29,0.27922,7.48405,10.61794
30,0.32551,7.98096,10.13682
31,0.35523,8.80278,10.7054
32,0.38219,9.493,12.04116
33,0.35083,8.8747,13.01272
34,0.37212,10.72935,12.83149
35,0.3777,12.02127,13.66673
36,0.40603,12.39764,13.50353
37,0.40254,11.53943,15.08489
38,0.43512,12.68063,16.03157
39,0.4192,13.26923,17.26995
40,0.47125,14.63663,16.57263
41,0.49169,14.81722,18.05544
42,0.48326,15.23761,18.33531
43,0.49883,15.38624,19.11094
44,0.82733,15.5828,20.03083
45,1.26161,17.01883,20.95109
46,0.46826,18.96736,21.93673
47,0.50686,19.65537,22.82346
48,0.49631,20.26218,23.81123
49,0.50139,20.33767,24.7928
50,0.51675,25.85556,25.83464
