Size,Best_case,Average_case,Worst_case
1,0.0,0.01016,0.001
2,0.03252,0.09251,0.02141
3,0.04813,0.0,0.10212
4,0.01091,0.10752,0.36264
5,0.06431,0.03326,0.22014
6,0.0207,0.13254,0.30437
7,0.05294,0.15652,1.11855
8,0.08363,0.2576,0.48177
9,0.09713,1.29243,0.38356
10,0.07781,0.33014,0.59852
11,0.10974,0.4853,2.12209
12,0.11994,1.85324,1.32914
13,0.14197,0.96159,1.5193
14,0.23161,0.79451,2.89231
15,0.15271,1.8461,1.68452
16,0.78115,1.20825,4.08211
17,0.2007,0.98535,2.81328
18,0.18471,1.40101,3.0577
19,1.74114,3.66107,4.3318
20,0.3047,2.26348,3.89483
21,0.18099,1.91623,3.75337
22,0.21846,2.27137,5.71897
23,0.21222,2.53039,5.08032
24,0.25916,2.93183,6.61525
25,0.26072,5.0395,6.31681
26,0.27715,4.87054,4.43642
27,0.25802,2.52671,4.0918
28,0.36171,3.44099,5.02061
29,0.28965,4.84464,5.61713
30,0.31098,3.61842,4.63286
31,0.36205,4.43849,5.76126
32,0.34848,3.55565,6.28949
33,0.39715,2.65618,6.06699
34,0.41838,3.76937,6.67156
35,0.45315,3.14353,7.333
36,0.43059,4.73944,8.16448
37,0.47134,5.23337,7.21041
38,1.50703,4.6108,7.58881
39,0.53634,4.56883,8.63678
40,0.70355,4.63777,9.07511
41,1.47705,4.89768,8.91403
42,1.89655,5.01056,9.7914
43,1.05319,5.04003,10.18859
44,1.15818,5.51358,10.18415
45,0.5076,5.81235,10.64499
46,0.51187,6.35164,11.12733
47,0.48833,6.05332,11.60952
48,0.51102,6.52873,12.17576
49,0.51466,7.16908,12.6014
50,0.522,7.09432,13.11936
