Size,Best_case,Average_case,Worst_case
1,0.34691,0.40541,0.0
2,0.0,0.0,0.0739
3,0.07484,0.26081,0.17346
4,0.25476,0.82492,0.64707
5,0.16526,0.1817,0.37453
6,1.34027,0.44975,0.25235
7,1.10788,0.76597,0.55622
8,1.74955,1.31202,0.4522
9,0.89363,2.15288,0.76948
10,3.07063,1.23569,1.11605
11,3.20538,1.44927,2.55056
12,1.22142,1.48053,1.44536
13,2.45166,0.99457,1.22061
14,3.41195,1.76203,2.26289
15,2.51825,2.07314,1.81712
16,1.93512,2.53422,2.31396
17,1.81506,1.81465,2.18118
18,2.68736,2.67908,2.41343
19,3.80149,4.99767,4.83789
20,2.29062,3.29267,3.42741
21,2.05124,2.75687,3.79789
22,2.43516,3.76122,5.55152
23,5.75989,3.34401,5.58148
24,2.75707,5.88902,3.10421
25,6.35588,4.80826,2.99708
26,3.35655,4.33864,2.71467
27,4.66896,4.70996,4.68675
28,4.24505,5.3006,4.10147
29,3.78987,3.41031,5.44671
30,4.70704,4.65118,3.37864
31,5.21245,5.81356,4.37151
32,4.66087,4.6166,4.6407
33,5.66652,5.50861,4.7798
34,3.84666,3.88025,3.83135
35,4.65695,4.24433,4.09265
36,5.54785,4.20773,5.09735
37,4.48923,4.76227,5.15913
38,4.39404,4.16591,4.28973
39,4.67355,5.37443,4.65572
40,4.40001,4.2688,4.50549
41,4.52298,4.61865,4.38913
42,5.00085,4.88644,4.50954
43,4.62608,4.94229,5.01107
44,4.74993,5.09275,4.64122
45,4.83806,4.84678,4.75073
46,4.96196,4.9714,4.83866
47,5.08624,5.51057,5.08215
48,5.49402,5.08605,5.50095
49,5.2028,5.20932,5.20336
50,5.36015,5.33032,5.32303
