Size,Best_case,Average_case,Worst_case
1,0.09746,0.0,0.3354
2,0.23867,0.16304,0.0
3,0.2503,0.05633,0.10474
4,0.11039,0.0976,0.16468
5,0.0,0.23684,0.04344
6,0.24707,0.53898,0.54728
7,0.27893,0.66875,2.11617
8,0.93383,0.95211,0.66926
9,0.8545,3.18539,1.82559
10,0.62509,2.07244,1.1187
11,0.51959,4.6554,0.80388
12,0.70426,3.50794,0.97688
13,0.34589,4.58753,1.50922
14,0.86796,7.08551,1.68457
15,1.46119,7.60194,2.07661
16,1.91555,2.99371,4.70975
17,1.86854,6.97776,5.83176
18,4.82937,3.54909,3.74388
19,1.2708,5.60612,3.41372
20,1.2521,4.11933,2.76086
21,3.78251,5.42863,2.53798
22,2.12294,7.06538,6.14208
23,2.17993,7.38886,7.47334
24,5.41017,6.32015,8.41781
25,2.48683,7.21718,4.9129
26,5.98569,6.02389,5.24759
27,5.80308,5.00616,5.30131
28,4.00575,5.81863,6.38141
29,3.62208,6.27421,5.5607
30,4.48657,6.72796,5.68846
31,3.15519,6.61917,6.54059
32,4.34786,6.00272,6.24793
33,3.55205,7.01611,6.97223
34,3.40078,6.77956,7.76709
35,3.6783,7.34988,7.42443
36,3.71847,7.58778,7.28229
37,2.92553,8.06988,8.08412
38,2.64111,8.51027,8.48189
39,3.19757,8.89712,8.90825
40,3.09062,9.93312,9.30255
41,2.79386,9.76169,9.7297
42,2.86424,10.30059,10.2802
43,3.21425,12.23972,11.19051
44,3.61163,10.62835,10.61943
45,3.26633,12.10322,11.72047
46,3.65301,11.61183,12.15903
47,3.59363,12.69994,13.75517
48,3.46895,13.72947,12.61157
49,3.94901,13.13356,13.1267
50,3.89506,14.24502,14.34819
