Size,Best_case,Average_case,Worst_case
1,0.09518,0.0532,0.19235
2,0.05641,0.02113,0.11846
3,0.02123,0.17804,0.06297
4,0.83548,0.26309,0.28268
5,0.14867,0.34416,0.38074
6,2.0769,0.56856,1.14365
7,0.66425,0.71125,0.49625
8,2.63701,0.41472,0.02232
9,2.26393,1.48192,0.79358
10,0.97953,0.09745,0.9237
11,2.934,2.19116,0.80127
12,2.48224,0.82732,3.60052
13,3.70325,2.70069,2.62127
14,1.29245,1.17542,3.57484
15,1.4597,3.02444,3.21509
16,2.58317,1.66739,2.38511
17,3.78688,2.31828,3.89854
18,2.02832,3.15953,3.08967
19,2.68813,2.95116,2.29168
20,2.8016,2.0613,2.6493
21,2.93213,2.61913,4.9852
22,3.18547,3.36996,3.57525
23,2.88716,3.67956,4.53712
24,4.71757,4.1626,4.92959
25,4.9035,5.50904,5.3032
26,5.04009,4.60949,5.71271
27,4.2263,4.87677,6.55909
28,4.53675,5.18707,6.08232
29,5.29241,5.95489,9.22366
30,5.68553,6.39036,6.98463
31,5.88482,6.40803,8.00429
32,7.00546,6.83508,8.62423
33,5.62891,7.69746,9.57911
34,6.15483,6.87133,10.08547
35,6.88149,8.9821,9.677
36,8.40097,7.38653,11.22835
37,7.67547,9.72534,11.24337
38,8.95008,8.97841,12.98887
39,9.54078,9.64773,13.61146
40,8.5114,11.83355,13.05249
41,11.1878,10.86788,13.70704
42,9.88503,11.64852,14.30053
43,10.21881,11.40095,15.25101
44,10.6852,11.7551,15.66847
45,12.54876,12.23382,16.35015
46,11.14793,12.70633,17.07533
47,12.14493,13.39278,17.79713
48,12.66235,13.88414,18.56359
49,13.19229,14.78878,19.34075
50,13.87819,14.93593,20.08884
